year,id,population,total_revenue,total_rev_own_sources,general_revenue,gen_rev_own_sources,total_taxes,property_tax,tot_sales___gr_rec_tax,total_gen_sales_tax,total_select_sales_tax,alcoholic_beverage_tax,amusement_tax,insurance_premium_tax,motor_fuels_tax,pari_mutuels_tax,public_utility_tax,tobacco_tax,other_select_sales_tax,total_license_taxes,alcoholic_beverage_lic,amusement_license,corporation_license,hunting___fishing_license,motor_vehicle_license,motor_veh_oper_license,motor_vehicle_license_total,public_utility_license,occup_and_bus_lic_nec,other_license_taxes,total_income_taxes,individual_income_tax,corp_net_income_tax,death_and_gift_tax,docum_and_stock_tr_tax,severance_tax,total_ig_revenue,total_fed_ig_revenue,fed_igr_air_transport,fed_igr_education,fed_igr_emp_sec_adm,fed_igr_health___hos,fed_igr_highways,fed_igr_hous_com_dev,fed_igr_natural_res,fed_igr_public_welf,fed_igr_other,tot_local_ig_rev,local_igr_other_education,local_igr_health___hos,local_igr_highways,local_igr_public_welf,local_igr_other,tot_chgs_and_misc_rev,total_general_charges,chg_total_education,chg_total_high_ed,chg_hospitals,chg_regular_highways,chg_toll_highways,chg_housing___comm_dev,chg_total_nat_res,chg_parks___recreation,chg_all_other_nec,misc_general_revenue,prop_sale_other,interest_revenue,fines_and_forfeits,rents_and_royalties,net_lottery_revenue,misc_general_rev_nec,total_insur_trust_rev,total_insur_trust_ctrb,tot_ins_trust_inv_rev,total_emp_ret_rev,emp_ret_total_ctrib,emp_ret_loc_emp_ctrib,emp_ret_from_other_gov,emp_ret_sta_to_sta_ctr,emp_ret_int_rev,total_unemp_rev,unemp_payroll_tax,unemp_int_revenue,unemp_federal_advances,total_expenditure,total_ig_expenditure,direct_expenditure,total_current_expend,total_current_oper,total_capital_outlays,total_construction,total_other_capital_outlays,tot_assist___subsidies,total_interest_on_debt,total_insur_trust_ben,total_salaries___wages,general_expenditure,ig_exp_to_local_govts,ig_exp_to_federal_govt,direct_general_expend,general_current_expend,general_current_oper,general_capital_outlay,general_construction,general_capital_outlay_other,general_assist___sub,general_debt_interest,air_trans_total_expend,air_trans_direct_expend,air_trans_cap_outlay,air_trans_ig_local_govts,correct_total_exp,correct_direct_exp,correct_cap_outlay,correct_current_exp,correct_construct,correct_ig_loc_govts,total_educ_total_exp,total_educ_direct_exp,total_educ_assist___sub,total_educ_cap_outlay,total_educ_current_exp,total_educ_construct,elem_educ_total_exp,elem_educ_ig_local_govts,higher_ed_total_exp,higher_ed_direct_exp,higher_ed_cap_outlay,higher_ed_current_exp,higher_ed_construct,educ_nec_total_expend,educ_nec_direct_expend,educ_nec_assistance,educ_nec_cap_outlay,educ_nec_construction,educ_nec_ig_local_govts,emp_sec_adm_direct_exp,emp_sec_adm_cap_outlay,fin_admin_total_exp,fin_admin_direct_exp,fin_admin_cap_outlay,fin_admin_current_exp,fin_admin_construction,judicial_total_expend,judicial_direct_expend,judicial_cap_outlay,judicial_current_exp,judicial_construction,judicial_ig_local_govts,cen_staff_total_expend,cen_staff_direct_exp,cen_staff_cap_outlay,cen_staff_current_exp,cen_staff_construction,gen_pub_bldg_total_exp,gen_pub_bldg_cap_out,gen_pub_bldg_current_exp,gen_pub_bldg_construct,health_total_expend,health_direct_expend,health_capital_outlay,health_current_exp,health_construction,health_ig_local_govts,total_hospital_total_exp,total_hospital_dir_exp,total_hospital_cap_out,total_hospital_current_exp,total_hospital_construct,own_hospital_total_exp,own_hospital_cap_out,own_hospital_construct,total_highways_tot_exp,total_highways_dir_exp,total_highways_cap_out,total_highways_current_exp,total_highways_construct,regular_hwy_total_exp,regular_hwy_direct_exp,regular_hwy_cap_outlay,regular_hwy_current_exp,regular_hwy_construct,regular_hwy_ig_loc_govts,toll_hwy_total_expend,hous___com_total_exp,hous___com_direct_exp,hous___com_cap_outlay,hous___com_current_exp,hous___com_ig_loc_govts,libraries_total_expend,libraries_direct_exp,libraries_cap_outlay,libraries_ig_local_govts,natural_res_total_exp,natural_res_direct_exp,natural_res_cap_outlay,natural_res_current_exp,natural_res_construct,natural_res_ig_loc_govts,parks___rec_total_exp,parks___rec_direct_exp,parks___rec_cap_outlay,parks___rec_current_exp,parks___rec_construct,parks___rec_ig_loc_govts,police_prot_total_exp,police_prot_direct_exp,police_prot_cap_outlay,police_prot_current_exp,police_prot_construct,police_prot_ig_loc_govts,prot_insp_total_exp,prot_insp_direct_exp,prot_insp_cap_outlay,prot_insp_current_exp,public_welf_total_exp,public_welf_direct_exp,public_welf_cash_asst,public_welf_cap_outlay,public_welf_current_exp,public_welf_construct,welf_categ_total_exp,welf_categ_cash_assist,welf_cash_total_exp,welf_cash_cash_assist,welf_vend_pmts_medical,welf_vend_pmts_nec,welf_ins_total_exp,welf_ins_cap_outlay,welf_ins_construction,welf_nec_total_expend,welf_nec_direct_expend,welf_nec_cap_outlay,welf_nec_current_exp,welf_nec_construction,welf_nec_ig_local_govts,sewerage_total_expend,sw_mgmt_total_expend,sw_mgmt_direct_expend,interest_on_gen_debt,general_nec_total_exp,general_nec_direct_exp,general_nec_cap_outlay,general_nec_current_exp,general_nec_construct,general_nec_ig_loc_govts,total_util_total_exp,emp_ret_total_expend,emp_ret_benefit_paymts,emp_ret_withdrawals,unemp_comp_total_exp,unemp_comp_ben_paymts,unemp_ext___spec_pmts,total_debt_outstanding,total_long_term_debt_out,st_debt_end_of_year,total_beg_ltd_out,beg_ltd_out_all_other,beg_ltd_out_general,beg_ltd_out_other_nec,total_ltd_issued,ltd_iss_private_purp,ltd_iss_all_other,ltd_iss_general,ltd_iss_gen_other_educ,ltd_iss_gen_other_nec,total_ltd_iss_ng,ltd_iss_ng_general,ltd_iss_ng_other_educ,ltd_iss_ng_private_purp,ltd_iss_ng_other_nec,total_ltd_retired,ltd_ret_private_purp,ltd_ret_all_other,ltd_ret_general,ltd_ret_gen_other_educ,ltd_ret_gen_other_nec,total_ltd_ret_ffc,ltd_ret_ffc_general,ltd_ret_ffc_other_nec,total_ltd_ret_ng,ltd_ret_ng_general,ltd_ret_ng_other_educ,ltd_ret_ng_private_purp,ltd_ret_ng_other_nec,total_ltd_out,ltd_out_private_purp,ltd_out_all_other,ltd_out_general,ltd_out_gen_other_educ,ltd_out_gen_other_nec,total_ltd_out_ffc,ltd_out_ffc_general,ltd_out_ffc_other_nec,tot_ltd_out_ng,ltd_out_ng_general,ltd_out_ng_other_educ,ltd_out_ng_private_purp,ltd_out_ng_other_nec,total_cash___securities,insur_trust_cash___sec,emp_retire_cash___sec,emp_retire_cash___dep,emp_retire_total_sec,emp_retire_sec_tot_fed,emp_retire_sec_tot_nong,emp_retire_sec_corp_bds,emp_retire_sec_corp_stk,emp_retire_sec_misc_inv,emp_retire_sec_oth_nong,unemp_comp_cash___sec,unemp_comp_bal_in_us_trs,unemp_comp_other_balance,nonin_trust_cash___sec,sinking_fd_cash___sec,bond_fd_cash___sec,oth_nonin_fd_cash___sec,chg_highways,prop_sale_total,air_trans_current_exp,educ_nec_current_exp,emp_sec_adm_current_exp,own_hospital_current_exp,toll_hwy_current_exp,libraries_current_exp,welf_ins_current_exp,sw_mgmt_current_exp,total_util_current_exp
2010,270000000,956624,7476954,4972281,6008627,3503954,2142809,236830,532013,0,532013,31920,52414,65048,204390,86,50622,88034,39499,308933,2053,4669,2925,44503,142189,8500,150689,7,97429,6658,1065033,714814,93225,48,0,253649,2504673,2498169,350,386468,31489,121484,526449,87848,73850,997963,230781,6504,18,0,3022,2494,883,1361145,578992,436857,431929,6659,1542,0,418,32541,2249,91672,782153,1502,232651,67751,139856,18594,257803,1400283,370451,814028,1088022,280868,113729,119487,0,807154,96457,89583,6874,0,7197652,1334955,5709589,6442528,3708217,755124,679480,75644,104786,170356,971106,960080,5633106,444694,193,5633106,4878047,3631799,755059,679480,75579,104786,170356,2018,2018,119,0,184888,184888,5053,179835,3141,0,1814066,933223,73506,65072,868151,46077,879985,0,769129,769129,64742,704387,46077,91446,90588,0,330,0,858,27061,110,197455,193266,5062,188204,2460,94967,92372,1091,91281,0,2595,91229,55102,1346,53756,0,40329,23690,16639,23684,166217,152332,8439,143893,7066,13885,47333,47333,309,47024,0,0,0,0,734164,716202,562617,153585,549848,734164,716202,562617,153585,549848,17962,0,116732,94820,19017,75803,21912,5165,4688,123,477,235500,219551,26578,192973,2061,15949,17904,17128,4066,13062,2942,776,47282,41912,2906,39006,0,5370,43299,41277,516,40761,1297405,1258358,31280,1226,1225852,0,31252,31252,28,28,984730,24006,17076,173,0,240313,201266,1053,200213,0,39047,8331,1197,1197,170356,399786,357485,27630,329855,23229,42108,34024,503927,485157,18770,335914,201986,133928,4156638,4156518,120,4468828,727324,0,0,322403,278318,44085,0,0,0,0,0,0,0,0,634713,559711,75002,0,0,0,0,0,0,0,0,0,0,0,4156518,3460111,696407,0,0,0,0,0,0,0,0,0,0,0,15515886,8156891,6898968,148120,6750848,1310165,5440683,690424,2735959,483552,1322556,110980,110980,0,7358995,3492130,90340,3776525,1542,1502,1899,90258,26951,0,0,4565,16903,1184,33959
2010,280000000,1769473,10221332,7018580,8834529,5631777,3864897,1168,1953532,1442951,510581,27002,6691,45463,298805,149,57806,52487,22178,226944,3508,184,14989,17247,79479,10858,90337,0,74505,26174,1683253,1514831,154332,67,10550,3473,3202752,3146417,19061,209043,36204,49962,297410,0,29228,2314143,147266,56335,35301,3,16423,970,3638,1766880,977868,655965,655830,211758,2040,0,1704,24461,3023,76974,789012,5334,217229,7999,26427,47436,244799,1386803,467096,919524,1206197,294561,137190,132388,0,911636,180423,172535,7888,0,9551991,2193130,7230894,8746633,5421276,805358,739863,65495,162136,96533,745591,2282049,7230894,671679,39342,7230894,6425536,5421276,805358,739863,65495,162136,96533,26244,3128,92,23116,237884,237884,2351,235533,2018,0,3181492,1786349,119817,218075,1568274,177512,1395143,0,1537426,1537426,217929,1319497,177503,129106,129106,0,146,9,0,40787,1577,105740,104232,518,103714,0,65040,65040,73,64967,0,0,27407,27407,103,27304,0,19367,11033,8334,10910,442495,361047,692,360355,363,81448,258220,258220,888,257332,14,0,0,0,663162,652315,523556,128759,511700,663162,652315,523556,128759,511700,10847,0,1699,1699,0,1699,0,5204,4412,20,792,257134,213744,24348,189396,20411,43390,36681,36681,5428,31253,4309,0,89027,69459,1963,67496,11,19568,64194,64194,298,63896,2208208,2208208,42319,695,2165194,12,40739,40739,1580,1580,1386441,138734,47165,121,5,593549,593549,574,592975,7,0,5973,10643,10643,96533,269390,212710,10893,201817,8358,56680,1152,378282,367493,10789,366113,215813,150300,2442982,2441387,1595,2515085,731539,0,0,264290,143377,120913,0,0,0,0,0,0,0,0,337988,264637,73351,0,0,0,0,0,0,0,0,0,0,0,2441387,1662286,779101,0,0,0,0,0,0,0,0,0,0,0,12635329,7115952,6924924,104580,6820344,249747,6570597,588496,1705381,0,3766457,186014,186014,0,5519377,2009951,173513,3335913,2040,5334,3036,128960,39210,0,0,4392,47044,10643,1152
2010,290000000,2554344,14053177,11136065,9937131,7020019,5835963,363218,4274994,2559489,1715505,39380,864252,234253,292804,0,23025,110345,151446,572427,0,107312,65226,8806,158987,20136,179123,0,207331,4629,625324,0,0,0,57462,182752,2917112,2758834,0,521718,73708,104937,357736,22181,38683,1264804,351427,158278,40080,1729,12762,97094,6613,1184056,675398,488957,488059,23809,1780,0,3539,7037,3849,146427,508658,3644,129542,43294,23037,0,230272,4031710,1506933,2086452,3298719,1214946,42468,1088341,0,2083773,732991,291987,2679,438325,13048270,3703981,9210097,12352562,4699681,695708,637606,58102,241249,202908,3370551,1566615,9124236,1223559,1535,9124236,8428542,4616870,695694,637606,58088,241249,199872,0,0,0,0,298822,293371,33176,260195,31622,5451,4032431,1553544,179360,143507,1410037,122215,2478887,0,1311886,1311886,143050,1168836,122212,62298,62298,0,457,3,0,83492,642,92637,92637,2324,90313,0,79068,72761,737,72024,0,6307,59754,59754,620,59134,0,42161,20733,21428,20630,227264,209887,2873,207014,1,17377,232222,232222,827,231395,0,0,0,0,707462,609560,474961,134599,456739,707462,609560,474961,134599,456739,97902,0,25067,25067,286,24781,0,4739,4332,110,407,117580,116294,5965,110329,2710,1286,19668,18850,683,18167,360,818,93531,89212,1384,87828,0,4319,85788,85782,750,85032,1922053,1804473,61889,1244,1741340,0,44789,44789,17100,17100,1428226,55119,12501,98,0,364318,246738,1146,245592,0,117580,0,8141,7156,199872,184376,151072,4792,146280,3327,31769,86936,1322303,1302032,20271,2048248,979204,1069044,4435774,4435774,0,4444804,3533021,0,0,312204,149491,162713,0,0,0,0,0,0,0,0,321234,67081,254153,0,0,0,0,0,0,0,0,0,0,0,4435774,994193,3441581,0,0,0,0,0,0,0,0,0,0,0,23761540,19691987,20056056,389982,19666074,4003421,15662653,2476566,8424619,0,4761464,-364069,37128,-401197,4069553,1317751,486290,2265512,1780,3644,0,61841,82850,0,0,4222,12403,7113,83886
2010,300000000,1312256,7974888,5614201,6368804,4008117,2271936,393796,899397,0,899397,12865,147,75172,147805,1591,85201,237988,338628,312188,3704,140,38850,10018,131100,12122,143222,10049,105485,720,666555,82365,499669,51,84470,0,2360687,2138110,13946,383988,34129,49983,218896,75093,29319,993559,298945,222577,4456,364,4287,196862,16608,1736181,950203,619814,619494,12239,32791,129326,25448,5476,15727,107484,785978,4677,432653,34061,4844,82440,126047,1091718,520463,571255,943928,374275,125527,224135,0,569653,147790,146188,1602,0,7888936,1261472,6425062,7422639,4479361,466297,403311,62986,158458,403400,917546,939903,5987565,1076123,0,5987565,5522437,4043033,465128,402525,62603,158458,403400,16903,16666,16134,237,114567,114421,2629,111792,2396,146,2003098,954516,93068,94413,860103,82263,1046954,861605,807643,807643,89107,718536,77181,55433,53805,0,5306,5082,1628,43776,8329,85108,85108,2920,82188,178,107976,105505,1397,104108,0,2471,54704,54358,3820,50538,619,22321,8435,13886,8059,89808,87561,631,86930,4,2247,53102,53102,25,53077,0,0,0,0,560500,519329,292814,226515,275656,461473,420302,217882,202420,204126,41171,99027,109988,109808,770,109038,180,3676,3658,1,18,59138,57894,5155,52739,3768,1244,27650,23928,6736,17192,5462,3722,59539,58681,5008,53673,121,858,48676,34989,879,34110,1890094,1828738,123504,3838,1701396,3426,99127,41013,24377,24377,1296076,236999,38392,3609,3426,195123,191881,229,191652,0,3242,8937,17835,16852,403400,489092,472064,9871,462193,3220,17028,7817,516218,494367,21851,401328,228861,172467,8347216,8278458,68758,8342213,3160262,0,0,1499984,744571,755413,0,0,0,0,0,0,0,0,1563739,1037471,526268,0,0,0,0,0,0,0,0,0,0,0,8278458,4889051,3389407,0,0,0,0,0,0,0,0,0,0,0,11595601,4609264,4587543,118636,4468907,0,4468907,1183397,2131499,92862,1061149,21721,21721,0,6986337,6058262,11514,916561,162117,4677,532,48499,35447,0,24095,3657,34783,16804,7211
2010,310000000,8653126,66531221,51054310,51182545,35705634,25927891,3908,11307452,7898165,3409287,126367,296125,509305,535281,0,938945,759742,243522,1388521,10399,66807,227497,13484,578968,50345,629313,4172,434587,2262,13228010,10322943,2047474,581624,275969,0,15476911,14753302,1016,3305313,218107,459102,1071737,234073,33468,7522766,1515683,723609,252810,77899,156008,2166,151091,9777743,5969440,2803876,2435835,887125,4470,1164070,47167,7785,275027,702028,3808303,6549,1222348,195196,10518,990522,1172838,14467901,3762050,8161592,9815086,1653494,1266218,0,0,8161592,3858120,2108556,0,1749564,67753638,11885097,55665228,63677533,32335798,4076105,3403811,672294,1244291,2084281,15924753,10110123,52919993,5929217,0,52919993,49732089,30483079,3187904,2758951,428953,1244291,2079966,26561,26561,3562,0,1563653,1491452,9825,1481627,6042,72201,16462416,8379800,757780,1032891,7346909,936144,10688696,1967823,4266170,4107738,435705,3672033,348500,749770,749289,0,2209,1205,481,191043,1020,817945,806211,22286,783925,14499,947662,908915,8733,900182,9,38747,102816,99178,1217,97961,17,24152,146,24006,143,1340661,1295216,55670,1239546,51635,45445,2258908,2081884,3773,2078111,1206,0,0,0,2905213,2692444,1824913,867531,1618353,1807245,1594476,1383658,210818,1369423,212769,1097968,306607,255294,546,254748,51313,12484,4979,0,7505,652579,517632,83539,434093,54441,134947,414367,403053,30477,372576,12843,11314,465469,441263,9769,431494,1029,24206,304452,287619,2797,284822,13573070,12611699,1019659,16965,11575075,7173,362681,5000,656978,481040,10520403,628506,78301,396,132,1326201,898449,16569,881880,7041,427752,9485,97981,36005,2079966,2399017,2304628,64142,2240486,35364,94389,2745235,7338796,7192773,146023,7835957,3347128,4488829,60968300,60942175,26125,56872606,41954344,0,0,8274710,2189880,6084830,0,0,0,0,0,0,0,0,4205141,2225189,1979952,0,0,0,0,0,0,0,0,0,0,0,60942175,14881478,46060697,0,0,0,0,0,0,0,0,0,0,0,104167662,65613244,66474277,19028,66455249,36619,66418630,23498709,15581525,10859313,15138752,-988202,380681,-1368883,38554418,20793062,2865333,14896023,1168540,6549,22999,747080,190023,0,656713,4979,77905,35802,1852719
2010,320000000,1964402,17452867,11205405,13892204,7644742,4295237,59624,2304563,1685302,619261,39337,58654,122703,227633,564,28236,37926,104208,194590,3534,387,9071,25372,121770,3705,125475,1332,25186,4233,1736460,956600,125100,8,0,654752,6247462,6065367,138,756279,11670,163106,493674,96794,70834,4035161,372861,182095,48860,133235,0,0,0,3349505,1448184,624833,617167,712709,10804,0,12008,16314,4817,66699,1901321,1599,576056,21811,787714,55536,372764,3560663,797742,2726679,3398872,684618,323264,201957,0,2714254,125549,113124,12425,0,18246668,4322463,13657070,17070282,9791107,1176386,1054733,121653,257950,339592,2092035,2698519,13657070,1240231,0,13657070,12480684,9791107,1176386,1054733,121653,257950,339592,3938,3938,3,0,413725,413725,4217,409508,953,0,5377094,2436877,161785,423870,2013007,378405,2940217,0,2089202,2089202,410665,1678537,368708,185890,185890,0,13205,9697,0,11992,20,238306,238306,1763,236543,602,282429,282429,9763,272666,4257,0,35916,35916,591,35325,186,84682,66675,18007,65502,535037,535037,858,534179,0,0,918976,918976,26774,892202,8169,0,0,0,882437,837606,570471,267135,560178,882437,837606,570471,267135,560178,44831,0,106402,106402,60,106342,0,0,0,0,0,218155,214317,12401,201916,6792,3838,69505,69505,11700,57805,10073,0,149580,131350,13580,117770,27,18230,67739,67739,1621,66118,4374412,4374412,96165,1946,4276301,35,86651,86651,9514,9514,3870088,135548,0,0,0,272611,272611,1946,270665,35,0,0,1761,1761,339592,466596,457585,30056,427529,19312,9011,13609,1381501,1319984,61517,696404,383668,312736,8739878,8497512,242366,7979318,4695447,0,0,1672100,798262,873838,0,0,0,0,0,0,0,0,1153906,643948,509958,0,0,0,0,0,0,0,0,0,0,0,8497512,3438185,5059327,0,0,0,0,0,0,0,0,0,0,0,41486709,20240257,20022402,1388384,18634018,2462153,16171865,2859376,5729200,3012738,4570551,183595,183595,0,21246452,5068842,114081,16063529,10804,1599,3935,172685,11972,0,0,0,0,1761,13609
2010,330000000,19429316,195725953,139979180,140231726,84484953,63807610,0,21104484,10568466,10536018,224621,690,1430125,1613229,22472,1083893,1351332,4809656,1541769,49000,16,59899,75629,965000,136785,1101785,34047,220000,1393,41161357,34751382,3895349,866377,311230,0,55746773,49640285,19085,6070297,306853,1278034,1943715,1858014,67374,35499876,1746120,6106488,234697,0,0,4977219,358174,20677343,8849126,3442647,3350202,3193573,2454,709969,58231,46386,214106,1087066,11828217,902,3353657,597243,100818,2991660,4249210,48067261,4783799,37649873,39616834,1966961,322438,1543301,0,37649873,5993711,2816838,0,3176873,175229537,54413732,119873972,164235488,77363350,10994049,8877074,2116975,1577775,5333051,24605747,17990954,107698923,40205732,702171,107698923,99736443,69502206,7962480,7113788,848692,1577775,4050715,154149,154006,114149,143,3266368,3171620,255581,2916039,231416,94748,39107606,11882893,1569444,2043966,9838927,1782312,25010794,11504965,9842747,9794239,2008710,7785529,1748658,2684621,519210,0,35256,33654,2165411,346324,9122,2105278,2105278,110434,1994844,462,3039147,2921362,71194,2850168,47727,117785,362048,362048,3946,358102,0,226479,43045,183434,42928,8895513,3023718,670257,2353461,592931,5871795,5761923,5761923,305568,5456355,229718,0,0,0,4644815,4631466,3137292,1494174,3019661,3770592,3757243,2720041,1037202,2635378,13349,874223,2424201,865035,612791,252244,1559166,144529,49160,110,95369,497352,464458,107449,357009,102304,32894,573493,517317,148348,368969,129826,56176,1034695,873071,45935,827136,14228,161624,642931,642397,4300,638097,48331852,37393277,7228812,65359,30099106,57002,3613224,0,3615588,0,35961699,156363,84960,1212,0,4900018,1190255,64147,1126108,57002,3709763,143523,127036,124143,4050715,4391700,3495915,118515,3377400,75455,895785,16891214,13069731,13052660,17071,9521577,4470033,5051544,129500000,129037349,492152,122175644,87308409,0,0,15535995,3970409,11565586,0,0,0,0,0,0,0,0,8674290,1976893,6697397,0,0,0,0,0,0,0,0,0,0,0,129037349,36860751,92176598,0,0,0,0,0,0,0,0,0,0,0,299109916,211767795,199676431,4166200,195510231,28642697,166867534,19412075,97843198,13379988,30866901,-1307491,934691,-2242182,87342121,60301757,3190483,23849881,712423,902,39857,483954,337202,0,456972,49050,83748,32742,12577309
2010,340000000,9041594,57465106,41766275,44055374,28356543,21514930,0,9433591,5856993,3576598,294532,15678,507038,1551660,0,398661,273946,535083,1533688,15507,0,621546,16331,548379,127096,675475,0,197097,7732,10547651,9133689,1294314,83980,34204,1464,15698831,15350128,26364,2886677,142362,1678454,788960,292076,84881,8940484,454496,348703,131019,1593,31819,134928,49217,6841613,4239914,2752712,2740651,999497,5841,2186,13551,39392,9667,381611,2601699,10576,771728,277835,18768,484563,631129,13409724,2272936,8839989,10298689,1458700,333600,274000,0,8839989,3111035,814236,0,2296799,53146949,13432843,38616272,50073124,25326021,3073825,2442335,631490,492672,602425,9121329,8537894,38561563,13432843,0,38561563,35528850,25312424,3032713,2405152,627561,492672,602425,48433,4713,1043,43720,1436294,1434035,117210,1316825,104886,2259,18644909,8208601,492672,903909,7304692,651139,9651326,9340508,8063506,6967828,851648,6116180,649506,437405,437283,0,2779,1633,122,205053,3848,355811,344108,2630,341478,0,641604,636612,10773,625839,2241,4992,95516,95510,1443,94067,741,44271,14682,29589,14646,1705764,1512242,10906,1501336,5091,193522,1529760,1529760,18724,1511036,17852,0,0,0,3045230,2828888,1687644,1141244,1427099,2998823,2782481,1681750,1100731,1421285,216342,46407,300194,258848,13,258835,41346,25228,22331,2,2897,556843,475526,61544,413982,35772,81317,256290,221195,105795,115400,86782,35095,520263,461795,50756,411039,27405,58468,124901,124042,2421,121621,11273497,9527878,623293,345,8904240,0,349037,0,274256,0,8893884,213387,16670,84,0,1526263,403937,261,403676,0,1122326,20966,14315,12515,602425,1087147,826779,10310,816469,2658,260368,146701,4085752,3977240,108512,5035577,2582359,2453218,18853155,18793371,59784,19735723,7531755,0,0,3132754,1458534,1674220,0,0,0,0,0,0,0,0,4059420,3089360,970060,0,0,0,0,0,0,0,0,0,0,0,18793371,10573142,8220229,0,0,0,0,0,0,0,0,0,0,0,83941441,64914883,67173228,145443,67027785,9514686,57513099,16132568,23366612,7418010,10595909,-2258345,19227,-2277572,19026558,10685970,627653,7712935,8027,10576,3670,434504,201205,0,40513,22329,16586,12461,105589
2010,350000000,637904,6118449,4376518,5415249,3673318,2645695,2125,948778,603740,345038,7368,8387,35894,151050,291,34002,23875,84171,166119,257,281,0,14906,87145,4040,91185,4,59486,0,1528673,303764,88347,9,0,1136553,1741931,1687395,380,380255,11129,56442,311055,39702,40620,604624,222135,54536,1,3231,31963,6490,4920,1027623,651297,401828,398176,5617,636,0,1782,18925,2817,30306,376326,2515,232288,8249,17767,10603,56754,703200,182263,374627,490078,119544,49474,53375,0,370534,66812,62719,4093,0,5240164,1246554,3881183,4660942,2585591,579222,513142,66080,156277,114460,445633,960305,3881183,449284,0,3881183,3301961,2585591,579222,513142,66080,156277,114460,5327,3365,1245,1962,72657,72191,3304,68887,2900,466,1765141,967861,42784,73973,893888,50703,797270,0,867210,867210,73369,793841,50402,57877,57867,0,604,301,10,8316,19,64107,63715,240,63475,3,62566,61865,1635,60230,0,701,15211,15211,430,14781,1,5995,2292,3703,2255,126901,108902,1072,107830,263,17999,64361,64254,2424,61830,2125,0,0,0,594876,507062,393767,113295,368789,594876,507062,393767,113295,368789,87814,0,35348,28497,4,28493,6851,2991,2123,6,868,243232,220531,53754,166777,49010,22701,20345,19850,5057,14793,4000,495,27013,25777,1292,24485,38,1236,17412,17412,157,17255,821391,807313,111865,17631,677817,16889,13763,13763,98102,98102,602623,11252,23582,16959,16889,72069,57991,672,57319,0,14078,0,0,0,114460,235366,132955,20836,112119,16046,102411,0,211258,204759,6499,116769,86175,30594,2198282,2196058,2224,1887050,1022264,0,0,620449,435630,184819,0,0,0,0,0,0,0,0,311441,225276,86165,0,0,0,0,0,0,0,0,0,0,0,2196058,1075140,1120918,0,0,0,0,0,0,0,0,0,0,0,13847634,4146633,2861270,65790,2795480,0,2795480,898594,1346856,262332,287698,79311,79311,0,9701001,1422788,26263,8251950,636,2515,2120,57263,8297,0,0,2117,6623,0,0
2010,360000000,11477641,88677168,66215295,57818101,35356228,23583596,0,12245348,7253496,4991852,93643,0,432925,1727242,8370,1144976,886875,697821,3243554,38882,4417,1387449,38661,832589,89456,922045,33179,795721,23200,8094694,7886802,142318,55024,0,10550,22461873,21953202,0,3621021,253319,764389,1191868,132482,95339,14364653,1386695,508671,8092,43028,72462,196181,188908,11772632,7754419,4994234,4965494,2253926,0,205916,19153,23880,17602,237274,4018213,4648,1099167,82841,23162,823036,1359244,30079776,5420479,19474300,23699361,4225061,2168003,1392547,0,19474300,3509605,1195418,0,2314187,77029978,18696062,58189791,72560888,31590986,4469090,4085563,383527,2238769,1483639,18407307,8463707,57719777,6987820,9987,57719777,53250733,31121018,4469044,4085563,383481,2238769,1483639,1678,0,0,1678,1605846,1436808,42175,1394633,38349,169038,21957879,10353490,1378487,1904831,8448659,1721591,11604389,0,7585836,7585836,856795,6729041,687576,1389167,1389167,0,1048036,1034015,0,326926,677,1352761,1331970,24695,1307275,2221,382707,324855,3436,321419,0,57852,85441,84806,589,84217,0,57238,13872,43366,11129,2309442,1300731,12394,1288337,8790,1008711,2572584,2572584,87494,2485090,23423,0,0,0,3258502,2468575,1863452,605123,1815775,3066317,2276390,1784946,491444,1767022,789927,192185,443856,329266,19,329247,114590,359525,12206,50,347319,381711,324107,41811,282296,30543,57604,114155,114155,67520,46635,66483,0,285131,271750,21316,250434,2097,13381,239577,225226,2773,222453,16730469,15142470,884903,8001,14249566,3053,478014,453393,406889,406889,12921791,108478,52558,3610,3053,2762739,1199361,4391,1194970,0,1563378,404142,30106,30106,1483639,1174823,756622,21041,735581,9084,408214,41999,10654218,10264097,390121,5498476,2664671,2833805,30003599,29486121,517478,28345791,16139779,0,0,5364606,2509512,2855094,0,0,0,0,0,0,0,0,4204980,1380807,2824173,0,0,0,0,0,0,0,0,0,0,0,29486121,13334717,16151404,0,0,0,0,0,0,0,0,0,0,0,172498523,143376295,125950563,5438667,120511896,11828939,108682957,14061457,48009391,13413854,33198255,-1545355,384416,-1929771,29122228,14237722,1317717,13566789,205916,4648,0,341131,326249,0,113679,12156,48948,30022,41999
